Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,learning_rate,max_depth,min_samples_split,n_estimators,mse,r2,test_mse,test_r2,Model,Data,Original Run ID,Train Data
2025-03-20 21:30:28,2.4s,588bf6a0fec04de5a8cf1336537666d3,bright-cow-912,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,None,10,200,0.0005678561880681590,0.8943564682141710,,,random-forest,,,all-features
2025-03-20 21:30:48,2.3s,b85c4ef4972c41d090d33b916f3218d7,learned-hen-3,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,15,10,200,0.000569337528196407,0.8940808808274130,,,random-forest,,,all-features
2025-03-20 21:28:09,2.3s,8d68440560cb48aea2ccaab047d86438,capricious-ant-225,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,15,10,200,0.000569337528196407,0.8940808808274130,,,random-forest,,,all-features
2025-03-20 21:30:04,1.7s,b213855be6994569921b093a04d0ad0a,casual-shoat-531,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,None,10,100,0.0005709898130246150,0.8937734910191550,,,random-forest,,,all-features
2025-03-20 21:30:21,1.9s,ee14e600fa1a4822926e180357537b92,lyrical-mare-729,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,15,10,100,0.0005727194273714960,0.8934517148862690,,,random-forest,,,all-features
2025-03-20 21:31:38,1.4s,3760039c87b44fe58cfe6cb0ec4f0333,monumental-bee-622,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,0.1,3,,50,0.0005743914150163420,0.8931406595810440,,,gradient-boosting,,,all-features
2025-03-20 21:29:05,1.4s,977ba472935243e39b68a74bf6ce0ac3,adorable-hawk-902,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,0.1,3,,50,0.0005743914150163420,0.8931406595810440,,,gradient-boosting,,,all-features
2025-03-20 21:31:27,1.6s,2265b90f09c740838b908f3039623742,auspicious-crane-368,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,0.05,3,,100,0.0005751608547767180,0.8929975135953340,,,gradient-boosting,,,all-features
2025-03-20 21:28:53,1.6s,55bd09d8c2484012bcae09be7d9d0f3e,bald-seal-286,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,0.05,3,,100,0.0005751608547767180,0.8929975135953340,,,gradient-boosting,,,all-features
2025-03-20 21:30:40,2.2s,8664dad1d8a249d6aca3c0fbb853e76b,chill-worm-487,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.10/site-packages/ipykernel_launcher.py,suhholee,FINISHED,,10,10,200,0.0005752717634383590,0.892976880232578,,,random-forest,,,all-features
