Games,At-bat,Runs,Hits,Double,Triple,HR,RBI,Walk,Strikeouts,stolen base ,Caught stealing,AVG,On-base Plus Slugging
2085.0,7627.0,1030.0,2195.0,394.0,35.0,75.0,744.0,721.0,686.0,189.0,89.0,0.288,0.744
1448.0,5410.0,665.0,1516.0,277.0,46.0,42.0,571.0,250.0,419.0,37.0,28.0,0.28,0.689
1259.0,4685.0,618.0,1264.0,242.0,46.0,156.0,667.0,288.0,853.0,127.0,59.0,0.27,0.758
1148.0,4192.0,629.0,1205.0,139.0,75.0,17.0,324.0,344.0,161.0,182.0,68.0,0.287,0.714
2276.0,9101.0,1719.0,3011.0,528.0,124.0,97.0,1879.0,952.0,294.0,247.0,29.111971403812824,0.331,0.842
1388.0,4724.0,713.0,1167.0,252.0,36.0,204.0,624.0,658.0,1147.0,113.0,39.0,0.247,0.782
824.0,2676.0,338.0,681.0,136.0,20.0,77.0,380.0,353.0,340.0,19.0,29.111971403812824,0.254,0.751
1678.0,5546.0,837.0,1484.0,272.0,60.0,235.0,948.0,800.0,828.0,27.0,1.0,0.268,0.83
2034.0,7455.0,1104.0,2143.0,318.0,68.0,282.0,1141.0,713.0,1017.0,105.0,77.0,0.287,0.811
1027.0,3324.0,405.0,847.0,111.0,22.0,106.0,428.0,332.0,397.0,25.0,11.0,0.255,0.724
1605.0,5363.0,619.0,1471.0,218.0,50.0,167.0,762.0,373.0,786.0,9.0,14.0,0.274,0.749
929.0,2885.0,274.0,617.0,79.0,4.0,109.0,341.0,252.0,677.0,5.0,14.0,0.214,0.636
1062.0,3278.0,348.0,835.0,135.0,8.0,62.0,356.0,182.0,314.0,25.0,11.0,0.255,0.655
2440.0,9288.0,1383.0,3141.0,543.0,85.0,135.0,1138.0,790.0,434.0,319.0,125.0,0.338,0.847
1993.0,6686.0,773.0,1764.0,275.0,69.0,28.0,619.0,239.0,511.0,169.0,108.0,0.264,0.625
1469.0,3956.0,484.0,972.0,150.0,42.0,75.0,404.0,332.0,544.0,143.0,68.0,0.246,0.671
